n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
54,0,1.372288015808758,512.0,213.081409654124,0.3465626666666571,7.40928352842694,-205.67212612569705,-18.714383999999484,-3.46218040973514,0.10546875,54.0,18.714383999999484,-0.993079462962963,-3.808743076401797
55,0,1.372288015808758,512.0,215.08399149765307,0.3371029272727247,5.948342962220906,-209.13564853543218,-18.540660999999858,-3.465363409735133,0.107421875,55.0,18.540660999999858,-1.0142537818181818,-3.802466337007858
56,0,1.372288015808758,512.0,217.02546001793974,0.3275586071428554,4.422607072772436,-212.6028529451673,-18.343281999999903,-3.4689209097351323,0.109375,56.0,18.343281999999903,-1.0355150357142857,-3.7964795168779877
57,0,1.372288015808758,512.0,218.92069569035823,0.31833857894735884,2.847205335455797,-216.07349035490245,-18.145298999999454,-3.47242440973514,0.111328125,57.0,18.145298999999454,-1.0566652280701754,-3.790762988682499
58,0,1.372288015808758,512.0,220.76285456890815,0.3092407931034631,1.2151528042705593,-219.5477017646376,-17.93596600000086,-3.476064409735116,0.11328125,58.0,17.93596600000086,-1.0777978620689654,-3.7853052028385794
59,0,1.372288015808758,512.0,222.552990831136,0.30026583050848726,-0.47262834323669267,-223.02561917437268,-17.71568400000075,-3.4798294097351175,0.115234375,59.0,17.71568400000075,-1.0989024406779662,-3.7800952402436048
60,0,1.372288015808758,512.0,224.3036060040966,0.29132126666666097,-2.2037545800112497,-226.50736058410783,-17.479275999999658,-3.483801409735136,0.1171875,60.0,17.479275999999658,-1.1198299666666667,-3.7751226764017973
61,0,1.372288015808758,512.0,226.0015531543869,0.28239627868852113,-3.9916688394560396,-229.99322199384295,-17.22617299999979,-3.487984409735134,0.119140625,61.0,17.22617299999979,-1.140749737704918,-3.770380688423655
62,0,1.372288015808758,512.0,227.64610471886127,0.27389524193548337,-5.83722468471683,-233.4833294035781,-16.98150499999997,-3.491964909735131,0.12109375,62.0,16.98150499999997,-1.1616721612903225,-3.7658601516706143
63,0,1.372288015808758,512.0,229.25216382083335,0.26535818253968985,-7.724987992479882,-236.9771518133132,-16.71756550000046,-3.496183909735123,0.123046875,63.0,16.71756550000046,-1.1824185873015873,-3.761542092274813
64,0,1.372288015808758,512.0,230.8120834397875,0.25667635937499833,-9.663613783260828,-240.47569722304834,-16.427286999999893,-3.500756409735132,0.125,64.0,16.427286999999893,-1.2030958125,-3.7574327691101304
65,0,1.372288015808758,512.0,232.3438606641265,0.24824800769230426,-11.634803968656954,-243.97866463278348,-16.136120499999777,-3.5052699097351336,0.126953125,65.0,16.136120499999777,-1.2235018923076924,-3.753517917427438
66,0,1.372288015808758,512.0,233.8302572974897,0.23979856060605895,-13.655979745028901,-247.4862370425186,-15.82670499999989,-3.509992909735132,0.12890625,66.0,15.82670499999989,-1.2438415,-3.749791470341191
67,0,1.372288015808758,512.0,235.28103576328283,0.23196710447760904,-15.717614688970926,-250.99865045225374,-15.541795999999806,-3.5142814097351334,0.130859375,67.0,15.541795999999806,-1.264014,-3.7462485142127426
68,0,1.372288015808758,512.0,236.69706441167256,0.22447729411763695,-17.81773545031632,-254.51479986198888,-15.264455999999313,-3.5183874097351406,0.1328125,68.0,15.264455999999313,-1.284005617647059,-3.742864703852778
69,0,1.372288015808758,512.0,238.06954858552513,0.21625993478262295,-19.96587668619891,-258.035425271724,-14.921935500000984,-3.5233839097351165,0.134765625,69.0,14.921935500000984,-1.3039249130434782,-3.7396438445177393
70,0,1.372288015808758,512.0,239.41178381682158,0.2082014142857255,-22.149783864637527,-261.5615676814591,-14.574099000000786,-3.528392409735119,0.13671875,70.0,14.574099000000786,-1.3236474142857144,-3.7365938240208445
71,0,1.372288015808758,512.0,240.71405005496584,0.20073519014081573,-24.378160036228422,-265.09221009119426,-14.252198499997917,-3.5329579097351598,0.138671875,71.0,14.252198499997917,-1.3432707605633802,-3.7336930998759756
72,0,1.372288015808758,512.0,241.9943921477162,0.19317986111109223,-26.633091353213217,-268.62748350092943,-13.90894999999864,-3.53775740973515,0.140625,72.0,13.90894999999864,-1.3626177777777777,-3.7309372708462423
73,0,1.372288015808758,512.0,243.24178043343767,0.18580008904111983,-28.925944477226892,-272.16772491066456,-13.563406500001747,-3.542524909735107,0.142578125,73.0,13.563406500001747,-1.381813287671233,-3.728324998776227
74,0,1.372288015808758,512.0,244.4575210384219,0.17887613513515185,-31.25501228197774,-275.71253332039964,-13.236834000001238,-3.5469689097351136,0.14453125,74.0,13.236834000001238,-1.4008466216216215,-3.7258450448702654
