spinodal,lnz_0,phase,phase_nebr,delta_w
0,-3.4947340347351306,0,0,inf
0,-3.4947340347351306,0,1,1.0
0,-3.4947340347351306,1,0,168.03852289669004
0,-3.4947340347351306,1,1,inf
1,-4.37982817626757,0,0,inf
1,-4.37982817626757,0,1,142.1796509702128
1,-4.37982817626757,1,0,0.9999999999997158
1,-4.37982817626757,1,1,inf
