lnz_0,phase,component,beta,volume,edge_distance,betaOmega,nvec,PE,dens,betaF,S,betaG,betapV,PE_n
-7.23,0,0,0.6666666666666666,512.0,436.0,-0.3712459920375653,0.37158877473087615,-0.001459441470703708,0.0007257593256462425,-3.0578328333418003,3.6142430344576453,-2.686586841304235,0.3712459920375653,-0.003927571471341434
-6.73,0,0,0.6666666666666666,512.0,436.0,-0.6124466254271718,0.6133728545733013,-0.003976068410955238,0.001197993856588479,-4.740445936705489,5.657854506291471,-4.127999311278318,0.6124466254271718,-0.006482302536393183
-6.23,0,0,0.6666666666666666,512.0,435.0,-1.010741247906067,1.0132445131750851,-0.01084800917579982,0.001978993189795088,-7.323254564986847,8.835889328632275,-6.31251331708078,1.010741247906067,-0.010706210628080965
-5.73,0,0,0.6666666666666666,512.0,435.0,-1.6691024334361775,1.6758851306531495,-0.029667487289075412,0.0032732131458069326,-11.271924232078725,13.765973603199065,-9.602821798642546,1.6691024334361775,-0.01770257802664135
-5.23,0,0,0.6666666666666666,512.0,434.0,-2.759143985547065,2.777623948262102,-0.0814556999107125,0.005425046773949418,-17.28611723495786,21.39824935741054,-14.526973249410794,2.759143985547065,-0.029325675983488526
-4.73,0,0,0.6666666666666666,512.0,432.0,-4.568926915397906,4.619721954740011,-0.22511501708195988,0.009022894442851584,-26.42021176131816,33.199718015373534,-21.851284845920254,4.568926915397906,-0.048729126836515195
-4.23,0,0,0.6666666666666666,512.0,429.0,-7.58779655832752,7.728733466520888,-0.6289136317752172,0.015095182551798609,-40.280339121710874,51.454163566975396,-32.692542563383356,7.58779655832752,-0.08137344035727558
-3.73,0,0,0.6666666666666666,512.0,424.0,-12.662735961957504,13.05492628581299,-1.788397050349289,0.025497902901978495,-61.35761100803995,79.74773573652658,-48.69487504608245,12.662735961957504,-0.13699020670019182
-3.23,0,0,0.6666666666666666,512.0,414.0,-21.306581097373893,22.42404405762192,-5.245615434866027,0.04379696105004281,-93.7362434034927,123.87523253334822,-72.4296623061188,21.306581097373893,-0.23392816306401454
-2.73,0,0,0.6666666666666666,512.0,397.0,-36.36783722875567,39.620618644743914,-16.197852471150025,0.07738402079051546,-144.53212612890655,193.1644857819224,-108.16428890015088,36.36783722875567,-0.4088238151046346
-2.23,0,0,0.6666666666666666,512.0,364.0,-63.576500937004184,72.99384426012202,-53.80862449798342,0.14256610207055082,-226.35277363707627,299.97112369527036,-162.7762727000721,63.576500937004184,-0.7371666069022226
-1.73,0,0,0.6666666666666666,512.0,301.0,-114.40221165127011,135.7323446979454,-179.5036700173037,0.2651022357381746,-349.21916797871563,433.1485716807646,-234.81695632744552,114.40221165127011,-1.3224826434463037
-1.23,0,0,0.6666666666666666,512.0,224.0,-201.69069403383085,211.4594299844752,-424.1235044590938,0.41300669918842814,-461.78579291473534,496.22593491871896,-260.0950988809045,201.69069403383085,-2.0056968113941847
-0.73,0,0,0.6666666666666666,512.0,170.0,-322.0314413585744,266.10799120489304,-666.2128740295246,0.5197421703220567,-516.2902749381464,471.3103457258028,-194.25883357957193,322.0314413585744,-2.5035432833603486
-0.23,0,0,0.6666666666666666,512.0,133.0,-464.88854176479356,303.2053167449976,-861.5732417485033,0.5921978842675735,-534.625764616143,415.05157856797064,-69.73722285134946,464.88854176479356,-2.8415505737094495
0.27,0,0,0.6666666666666666,512.0,105.0,-623.6493387789691,330.63230337659013,-1019.9306262634705,0.6457662175324026,-534.3786168672898,350.37332108986135,89.27072191167935,623.6493387789691,-3.0847881947632008
0.77,0,0,0.6666666666666666,512.0,83.0,-794.5987964246706,352.43094636682184,-1152.1089166012016,0.6883416921226989,-523.2269677222178,283.80077620498275,271.37182870245283,794.5987964246706,-3.2690344831468017
1.27,0,0,0.6666666666666666,512.0,65.0,-975.4639420726041,370.5341907983428,-1264.39028337575,0.7236995914030133,-504.88551975870877,217.7599503723897,470.5784223138954,975.4639420726041,-3.412344433455734
1.77,0,0,0.6666666666666666,512.0,50.0,-1164.7134812830964,386.10411356317564,-1361.4903186663282,0.7541095968030774,-481.3092002762754,152.8051581768201,683.404281006821,1164.7134812830964,-3.526225882707558
2.27,0,0,0.6666666666666666,512.0,36.0,-1361.2456679845711,399.76302331553273,-1446.0698363913687,0.7807871549131499,-453.78360505831176,89.38158243736507,907.4620629262594,1361.2456679845711,-3.6173176408313945
