lnz_0,phase,component,beta,volume,edge_distance,betaOmega,nvec,PE,dens,betaF,S,betaG,betapV,PE_n
-13.6,0,0,1.372288015808758,512.0,436.0,-0.0006349553005955205,0.0006349601491346613,-7.413490295505807e-09,1.2401565412786353e-06,-0.009270413328826914,0.010222843379085017,-0.008635458028231393,0.0006349553005955205,-1.1675520590715948e-05
-13.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-13.1,0,0,1.372288015808758,512.0,436.0,-0.0010468694958897546,0.0010468826758288842,-1.901846632331815e-08,2.0446927262282895e-06,-0.014761032549248139,0.01633133046417805,-0.013714163053358383,0.0010468694958897546,-1.8166760003225773e-05
-13.1,1,0,1.372288015808758,512.0,,,,,,,,,,
-12.6,0,0,1.372288015808758,512.0,436.0,-0.0017260101024780484,0.0017260459303579153,-5.056538185145279e-08,3.3711834577303034e-06,-0.02347418882498778,0.02606318833025712,-0.021748178722509733,0.0017260101024780484,-2.9295501911103536e-05
-12.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-12.1,0,0,1.372288015808758,512.0,436.0,-0.00284574789044774,0.0028458452856105773,-1.3632470565832805e-07,5.558291573458159e-06,-0.037280475846335724,0.041549056697991756,-0.034434727955887985,0.00284574789044774,-4.790306287823356e-05
-12.1,1,0,1.372288015808758,512.0,,,,,,,,,,
-11.6,0,0,1.372288015808758,512.0,436.0,-0.004691949252366034,0.0046922140217770525,-3.69469237714637e-07,9.164480511283306e-06,-0.05912163190497984,0.0661594459194383,-0.05442968265261381,0.004691949252366034,-7.874091761370898e-05
-11.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-11.1,0,0,1.372288015808758,512.0,436.0,-0.007735999739660331,0.007736719555743533,-1.0033406725218986e-06,1.5110780382311588e-05,-0.09361358680841354,0.10521728926964817,-0.08587758706875322,0.007735999739660331,-0.00012968554246961755
-11.1,1,0,1.372288015808758,512.0,,,,,,,,,,
-10.6,0,0,1.372288015808758,512.0,436.0,-0.01275527729440277,0.012757234397601257,-2.726914950777537e-06,2.4916473432814955e-05,-0.14798196190897608,0.1671140713926709,-0.13522668461457332,0.01275527729440277,-0.00021375439737081879
-10.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-10.1,0,0,1.372288015808758,512.0,436.0,-0.0210319906176018,0.021037312549295247,-7.414466506154316e-06,4.108850107284228e-05,-0.2335088473654838,0.26505464140589663,-0.212476856747882,0.0210319906176018,-0.00035244361601704215
-10.1,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.6,0,0,1.372288015808758,512.0,436.0,-0.03468158416560934,0.034696059526260356,-2.0167281639887883e-05,6.776574126222726e-05,-0.36776375561770874,0.4197801695881934,-0.3330821714520994,0.03468158416560934,-0.0005812556790382465
-9.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.1,0,0,1.372288015808758,512.0,436.0,-0.05719575559976,0.057235143413458804,-5.488121143674824e-05,0.00011178738947941173,-0.578035560662235,0.6638129629536755,-0.5208398050624751,0.05719575559976,-0.0009588726115403244
-9.1,1,0,1.372288015808758,512.0,,,,,,,,,,
-8.6,0,0,1.372288015808758,512.0,436.0,-0.0943420215556008,0.09444926696654095,-0.00014946014584917683,0.0001844712245440253,-0.9066057174678529,1.0480745155506745,-0.8122636959122521,0.0943420215556008,-0.0015824383888773188
-8.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-8.1,0,0,1.372288015808758,512.0,436.0,-0.15565856061350478,0.1559508848634283,-0.00040752898768067286,0.0003045915719988834,-1.418860728007274,1.6522278081565276,-1.2632021673937692,0.15565856061350478,-0.002613188043386611
-8.1,1,0,1.372288015808758,512.0,,,,,,,,,,
-7.6,0,0,1.372288015808758,512.0,436.0,-0.2569509472296884,0.2577491738551937,-0.0011134507012147722,0.0005034163551859252,-2.21584466852916,2.6009404542584798,-1.958893721299472,0.2569509472296884,-0.004319900174889876
-7.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-7.1,0,0,1.372288015808758,512.0,436.0,-0.4244974452282224,0.42668355189235335,-0.0030524486604983107,0.0008333663122897526,-3.453950663663931,4.089787152786788,-3.029453218435709,0.4244974452282224,-0.007153893434515149
-7.1,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.6,0,0,1.372288015808758,512.0,436.0,-0.7022306902894325,0.7082473564901758,-0.008415573769673265,0.0013832956181448746,-5.376663243124593,6.42748568682958,-4.67443255283516,0.7022306902894325,-0.011882252284537823
-6.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.1,0,0,1.372288015808758,512.0,435.0,-1.1642848877606033,1.1809829781157568,-0.023425524650890914,0.0023066073791323375,-8.36828105426672,10.107608954697906,-7.2039961665061165,1.1642848877606033,-0.01983561582595038
-6.1,1,0,1.372288015808758,512.0,,,,,,,,,,
-5.6,0,0,1.372288015808758,512.0,435.0,-1.9377588238827375,1.984789109384993,-0.06629905058303551,0.0038765412292675644,-13.052577836438697,15.93878010794159,-11.11481901255596,1.9377588238827375,-0.03340357434930653
-5.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-5.1,0,0,1.372288015808758,512.0,433.0,-3.2467249227095225,3.382927559410165,-0.19331838008502206,0.006607280389472978,-20.49965547570136,25.30875831859037,-17.252930552991838,3.2467249227095225,-0.05714529107999237
-5.1,1,0,1.372288015808758,512.0,,,,,,,,,,
-4.6,0,0,1.372288015808758,512.0,431.0,-5.5074322637550255,5.924623334151676,-0.597163006460596,0.011571529949514991,-32.76069960085273,40.82815496483004,-27.253267337097707,5.5074322637550255,-0.10079341297839679
-4.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-4.1,0,0,1.372288015808758,512.0,426.0,-9.582616022268803,11.029529949394544,-2.103071984008492,0.021542050682411218,-54.803688814786426,68.46196325884024,-45.221072792517624,9.582616022268803,-0.1906764833730687
