T*,V*,Rcut*,TAIL,ln(z*),<rho*>,stdev,<p*>,stdev,<U*>,stdev
0.72871,512.0,2.5,LFS,-6.677189237571097,0.0012790333814643323,1.5343255225066512e-07,0.0009247527678872273,1.1902329975814857e-07,-0.007193617237475044,3.3943819240778382e-06
0.72871,512.0,2.5,LFS,-6.6725244390120775,0.0012851091331888913,1.5406384661835567e-07,0.0009291108856543972,1.1953253045743567e-07,-0.007262175701736646,3.4248661677167955e-06
0.72871,512.0,2.5,LFS,-6.667859640453058,0.0012912142074512534,1.5469745697247952e-07,0.0009334897064320394,1.200438022243664e-07,-0.007331393068253212,3.45562467842809e-06
0.72871,512.0,2.5,LFS,-6.663194841894038,0.001297348750221761,1.5533339091544522e-07,0.000937889330143706,1.205571222380477e-07,-0.007401275749379941,3.4866600220051233e-06
0.72871,512.0,2.5,LFS,-6.658530043335016,0.0013035129082408386,1.559716561409136e-07,0.0009423098572104531,1.2107249769811068e-07,-0.007471830221039093,3.5179747909401535e-06
0.72871,512.0,2.5,LFS,-6.653865244775995,0.0013097068290234821,1.566122604368147e-07,0.0009467513885534651,1.2158993582456407e-07,-0.007543063023367255,3.5495716047476944e-06
0.72871,512.0,2.5,LFS,-6.649200446216975,0.0013159306608637772,1.5725521168873015e-07,0.0009512140255966931,1.2210944385846807e-07,-0.007614980761369393,3.5814531102829445e-06
0.72871,512.0,2.5,LFS,-6.644535647657955,0.0013221845528394493,1.579005178829539e-07,0.0009556978702695139,1.2263102906130428e-07,-0.007687590105579854,3.613621982064418e-06
0.72871,512.0,2.5,LFS,-6.639870849098935,0.001328468654816443,1.5854818710998708e-07,0.0009602030250094002,1.2315469871670802e-07,-0.007760897792730352,3.646080922607463e-06
0.72871,512.0,2.5,LFS,-6.6352060505399155,0.001334783117453536,1.5919822756701028e-07,0.0009647295927646078,1.236804601288e-07,-0.007834910626425043,3.6788326627553018e-06
0.72871,512.0,2.5,LFS,-6.630541251980896,0.001341128092206979,1.5985064756279655e-07,0.0009692776769968794,1.242083206241689e-07,-0.00790963547782273,3.711879962015127e-06
0.72871,512.0,2.5,LFS,-6.625876453421874,0.0013475037313351716,1.6050545551975737e-07,0.0009738473816841619,1.2473828755057485e-07,-0.007985079286326312,3.745225608892721e-06
0.72871,512.0,2.5,LFS,-6.621211654862853,0.0013539101879033728,1.6116265997933503e-07,0.0009784388113233443,1.2527036827803726e-07,-0.00806124906027966,3.7788724212509332e-06
0.72871,512.0,2.5,LFS,-6.616546856303833,0.0013603476157884212,1.6182226960312298e-07,0.0009830520709330011,1.2580457019931597e-07,-0.008138151877671368,3.8128232466413606e-06
