spinodal,lnz_0,lnz_1,phase,phase_nebr,delta_w
0,1.909162556000003,0.5,0,0,inf
0,1.909162556000003,0.5,0,1,1.0
0,1.909162556000003,0.5,1,0,534.0481579528707
0,1.909162556000003,0.5,1,1,inf
1,-1.5165139906666714,0.5,0,0,inf
1,-1.5165139906666714,0.5,0,1,297.3260751354343
1,-1.5165139906666714,0.5,1,0,0.9999999999998863
1,-1.5165139906666714,0.5,1,1,inf
