binodal,lnz_0,lnz_1,phase,phase_nebr,delta_w
0,-0.22421410635526465,0.5,0,0,inf
0,-0.22421410635526465,0.5,0,1,83.22181350450018
0,-0.22421410635526465,0.5,1,0,83.07675622146192
0,-0.22421410635526465,0.5,1,1,inf
