spinodal,lnz_0,lnz_1,phase,phase_nebr,delta_w
0,1.9017681949999985,0.5,0,0,inf
0,1.9017681949999985,0.5,0,1,0.9999999999999716
0,1.9017681949999985,0.5,1,0,532.1773846198696
0,1.9017681949999985,0.5,1,1,inf
1,-1.515818866249997,0.5,0,0,inf
1,-1.515818866249997,0.5,0,1,297.1745380125994
1,-1.515818866249997,0.5,1,0,1.0000000000000568
1,-1.515818866249997,0.5,1,1,inf
