lnz_0,lnz_1,phase,component,beta,volume,edge_distance,betaOmega,nvec,dens,betaF,betaG,betapV
-4.631578947368421,0.5,1,0,1.0,1.0,,,,,,,
-4.631578947368421,0.5,1,1,1.0,1.0,,,,,,,
-3.7894736842105265,0.5,0,0,1.0,1.0,27.586228448267445,-1352.7951252470777,0.0035493614648161955,0.0035493614648161955,-1244.6783385606152,108.11678668646255,1352.7951252470777
-3.7894736842105265,0.5,0,1,1.0,1.0,27.586228448267445,-1352.7951252470777,216.26047379665843,216.26047379665843,-1244.6783385606152,108.11678668646255,1352.7951252470777
-3.7894736842105265,0.5,1,0,1.0,1.0,,,,,,,
-3.7894736842105265,0.5,1,1,1.0,1.0,,,,,,,
-2.947368421052632,0.5,0,0,1.0,1.0,27.586228448267445,-1352.7998197837794,0.008256354101098418,0.008256354101098418,-1244.6984267279533,108.10139305582616,1352.7998197837794
-2.947368421052632,0.5,0,1,1.0,1.0,27.586228448267445,-1352.7998197837794,216.25145514635355,216.25145514635355,-1244.6984267279533,108.10139305582616,1352.7998197837794
-2.947368421052632,0.5,1,0,1.0,1.0,,,,,,,
-2.947368421052632,0.5,1,1,1.0,1.0,,,,,,,
-2.105263157894737,0.5,0,0,1.0,1.0,27.586228448267445,-1352.8107553948696,0.01925986434111011,0.01925986434111011,-1244.736109371308,108.07464602356158,1352.8107553948696
-2.105263157894737,0.5,0,1,1.0,1.0,27.586228448267445,-1352.8107553948696,216.23038621276996,216.23038621276996,-1244.736109371308,108.07464602356158,1352.8107553948696
-2.105263157894737,0.5,1,0,1.0,1.0,,,,,,,
-2.105263157894737,0.5,1,1,1.0,1.0,,,,,,,
-1.2631578947368425,0.5,0,0,1.0,1.0,27.586228448267445,-1352.836350786972,0.04523131092948706,0.04523131092948706,-1244.8031174410305,108.03323334594153,1352.836350786972
-1.2631578947368425,0.5,0,1,1.0,1.0,27.586228448267445,-1352.836350786972,216.1807352668628,216.1807352668628,-1244.8031174410305,108.03323334594153,1352.836350786972
-1.2631578947368425,0.5,1,0,1.0,1.0,21.93171219946131,-1113.5388969457144,220.48928039412604,220.48928039412604,-1391.2871314557112,-277.7482345099968,1113.5388969457144
-1.2631578947368425,0.5,1,1,1.0,1.0,21.93171219946131,-1113.5388969457144,1.5290814493776004,1.5290814493776004,-1391.2871314557112,-277.7482345099968,1113.5388969457144
-0.4210526315789478,0.5,0,0,1.0,1.0,27.586228448267445,-1352.8969564538877,0.10800368312907704,0.10800368312907704,-1244.9118372749372,107.98511917895057,1352.8969564538877
-0.4210526315789478,0.5,0,1,1.0,1.0,27.586228448267445,-1352.8969564538877,216.06118882790457,216.06118882790457,-1244.9118372749372,107.98511917895057,1352.8969564538877
-0.4210526315789478,0.5,1,0,1.0,1.0,13.45362404707371,-1306.2218318557698,235.78843287471759,235.78843287471759,-1405.4240913487743,-99.2022594930044,1306.2218318557698
-0.4210526315789478,0.5,1,1,1.0,1.0,13.45362404707371,-1306.2218318557698,0.15416132954303594,0.15416132954303594,-1405.4240913487743,-99.2022594930044,1306.2218318557698
0.4210526315789469,0.5,0,0,1.0,1.0,27.586228448267445,-1353.044887806116,0.2698808246122589,0.2698808246122589,-1245.0532280329685,107.99165977314752,1353.044887806116
0.4210526315789469,0.5,0,1,1.0,1.0,27.586228448267445,-1353.044887806116,215.75605148346366,215.75605148346366,-1245.0532280329685,107.99165977314752,1353.044887806116
0.4210526315789469,0.5,1,0,1.0,1.0,5.656854249492381,-1509.768969201642,247.18369486108935,247.18369486108935,-1405.680259928932,104.08870927271005,1509.768969201642
0.4210526315789469,0.5,1,1,1.0,1.0,5.656854249492381,-1509.768969201642,0.02272813608193403,0.02272813608193403,-1405.680259928932,104.08870927271005,1509.768969201642
1.2631578947368425,0.5,0,0,1.0,1.0,27.586228448267445,-1353.448038935424,0.8370579366874241,0.8370579366874241,-1245.020300772902,108.42773816252199,1353.448038935424
1.2631578947368425,0.5,0,1,1.0,1.0,27.586228448267445,-1353.448038935424,214.74080364288628,214.74080364288628,-1245.020300772902,108.42773816252199,1353.448038935424
1.2631578947368425,0.5,1,0,1.0,1.0,1.0,-1720.7673555501453,252.59759258949748,252.59759258949748,-1401.6939805591178,319.07337499102766,1720.7673555501453
1.2631578947368425,0.5,1,1,1.0,1.0,1.0,-1720.7673555501453,0.00546344016673774,0.00546344016673774,-1401.6939805591178,319.07337499102766,1720.7673555501453
2.1052631578947363,0.5,0,0,1.0,1.0,,,,,,,
2.1052631578947363,0.5,0,1,1.0,1.0,,,,,,,
2.1052631578947363,0.5,1,0,1.0,1.0,1.0,-1934.008733754554,253.59831711215668,253.59831711215668,-1400.1164879639064,533.8922457906475,1934.008733754554
2.1052631578947363,0.5,1,1,1.0,1.0,1.0,-1934.008733754554,0.002103740635667306,0.002103740635667306,-1400.1164879639064,533.8922457906475,1934.008733754554
2.94736842105263,0.5,0,0,1.0,1.0,,,,,,,
2.94736842105263,0.5,0,1,1.0,1.0,,,,,,,
2.94736842105263,0.5,1,0,1.0,1.0,1.0,-2147.692374350404,253.85251622257948,253.85251622257948,-1399.4950444016768,748.1973299487273,2147.692374350404
2.94736842105263,0.5,1,1,1.0,1.0,1.0,-2147.692374350404,0.0008800590920914021,0.0008800590920914021,-1399.4950444016768,748.1973299487273,2147.692374350404
3.7894736842105257,0.5,0,0,1.0,1.0,,,,,,,
3.7894736842105257,0.5,0,1,1.0,1.0,,,,,,,
3.7894736842105257,0.5,1,0,1.0,1.0,1.0,-2361.5058610940864,253.94048159989907,253.94048159989907,-1399.2049011224644,962.300959971622,2361.5058610940864
3.7894736842105257,0.5,1,1,1.0,1.0,1.0,-2361.5058610940864,0.0003751861145650206,0.0003751861145650206,-1399.2049011224644,962.300959971622,2361.5058610940864
4.631578947368421,0.5,0,0,1.0,1.0,,,,,,,
4.631578947368421,0.5,0,1,1.0,1.0,,,,,,,
4.631578947368421,0.5,1,0,1.0,1.0,1.0,-2575.367183106054,253.97505525818593,253.97505525818593,-1399.061583535943,1176.305599570111,2575.367183106054
4.631578947368421,0.5,1,1,1.0,1.0,1.0,-2575.367183106054,0.0001609591311388362,0.0001609591311388362,-1399.061583535943,1176.305599570111,2575.367183106054
5.473684210526315,0.5,0,0,1.0,1.0,,,,,,,
5.473684210526315,0.5,0,1,1.0,1.0,,,,,,,
5.473684210526315,0.5,1,0,1.0,1.0,1.0,-2789.247804580537,253.98937918724167,253.98937918724167,-1398.9901154712657,1390.2576891092713,2789.247804580537
5.473684210526315,0.5,1,1,1.0,1.0,1.0,-2789.247804580537,6.922137110801288e-05,6.922137110801288e-05,-1398.9901154712657,1390.2576891092713,2789.247804580537
6.315789473684209,0.5,0,0,1.0,1.0,,,,,,,
6.315789473684209,0.5,0,1,1.0,1.0,,,,,,,
6.315789473684209,0.5,1,0,1.0,1.0,1.0,-3003.13651129297,253.99544751988222,253.99544751988222,-1398.9547225837982,1604.181788709172,3003.13651129297
6.315789473684209,0.5,1,1,1.0,1.0,1.0,-3003.13651129297,2.979877980570548e-05,2.979877980570548e-05,-1398.9547225837982,1604.181788709172,3003.13651129297
7.157894736842104,0.5,0,0,1.0,1.0,,,,,,,
7.157894736842104,0.5,0,1,1.0,1.0,,,,,,,
7.157894736842104,0.5,1,0,1.0,1.0,1.0,-3217.0286596809538,253.99804302436326,253.99804302436326,-1398.9373979319982,1818.0912617489555,3217.0286596809538
7.157894736842104,0.5,1,1,1.0,1.0,1.0,-3217.0286596809538,1.28333427535226e-05,1.28333427535226e-05,-1398.9373979319982,1818.0912617489555,3217.0286596809538
8.0,0.5,0,0,1.0,1.0,,,,,,,
8.0,0.5,0,1,1.0,1.0,,,,,,,
8.0,0.5,1,0,1.0,1.0,1.0,-3430.9222831369957,253.9991577157486,253.9991577157486,-1398.9290186470628,2031.993264489933,3430.9222831369957
8.0,0.5,1,1,1.0,1.0,1.0,-3430.9222831369957,5.527888256751866e-06,5.527888256751866e-06,-1398.9290186470628,2031.993264489933,3430.9222831369957
