  14       4     -0.131736678486E+04
  13       5     -0.131644690008E+04
  12       6     -0.131576512004E+04
  11       7     -0.131529655266E+04
  10       8     -0.131502649361E+04
   9       9     -0.131494995975E+04
   8      10     -0.131506292072E+04
   7      11     -0.131536644751E+04
   6      12     -0.131587319864E+04
   5      13     -0.131659104537E+04
   4      14     -0.131754738375E+04
   3      15     -0.131877240590E+04
   2      16     -0.132032802991E+04
   1      17     -0.132233007366E+04
   0      18     -0.132506110448E+04
  19       0     -0.131443062505E+04
  18       1     -0.131169104229E+04
  17       2     -0.130967680539E+04
  16       3     -0.130810437876E+04
  15       4     -0.130685992396E+04
  14       5     -0.130588457890E+04
  13       6     -0.130513850954E+04
  12       7     -0.130460233603E+04
  11       8     -0.130425687475E+04
  10       9     -0.130409624861E+04
   9      10     -0.130411489212E+04
   8      11     -0.130431419147E+04
   7      12     -0.130469785896E+04
   6      13     -0.130527490125E+04
   5      14     -0.130605739490E+04
   4      15     -0.130707077788E+04
   3      16     -0.130835005393E+04
   2      17     -0.130995813369E+04
   1      18     -0.131200775565E+04
   0      19     -0.131478325202E+04
  20       0     -0.130417735605E+04
  19       1     -0.130139968969E+04
  18       2     -0.129934445731E+04
  17       3     -0.129772630714E+04
  16       4     -0.129643220074E+04
  15       5     -0.129540341903E+04
  14       6     -0.129460189839E+04
  13       7     -0.129400212730E+04
  12       8     -0.129358892772E+04
  11       9     -0.129335341526E+04
  10      10     -0.129328753876E+04
   9      11     -0.129339101494E+04
   8      12     -0.129366919739E+04
   7      13     -0.129412285607E+04
   6      14     -0.129476291890E+04
   5      15     -0.129560417375E+04
   4      16     -0.129667281641E+04
   3      17     -0.129800254721E+04
   2      18     -0.129965844898E+04
   1      19     -0.130175090390E+04
   0      20     -0.130456842102E+04
  21       0     -0.129398655205E+04
  20       1     -0.129117221899E+04
  19       2     -0.128907804075E+04
  18       3     -0.128741996184E+04
  17       4     -0.128608344945E+04
  16       5     -0.128500769377E+04
  15       6     -0.128415349696E+04
  14       7     -0.128349644439E+04
  13       8     -0.128301880336E+04
  12       9     -0.128271378538E+04
  11      10     -0.128257094489E+04
  10      11     -0.128259055828E+04
   9      12     -0.128277301431E+04
   8      13     -0.128312175565E+04
   7      14     -0.128364026600E+04
   6      15     -0.128434020049E+04
   5      16     -0.128523665562E+04
   4      17     -0.128635616671E+04
   3      18     -0.128773249865E+04
   2      19     -0.128943005224E+04
   1      20     -0.129156312797E+04
   0      21     -0.129441823991E+04
  22       0     -0.128385580505E+04
  21       1     -0.128100620682E+04
  20       2     -0.127887624532E+04
  19       3     -0.127718030864E+04
  18       4     -0.127580102114E+04
  17       5     -0.127467823427E+04
  16       6     -0.127377562114E+04
  15       7     -0.127306608333E+04
  14       8     -0.127253245687E+04
  13       9     -0.127216606215E+04
  12      10     -0.127195684234E+04
  11      11     -0.127190255595E+04
  10      12     -0.127200136308E+04
   9      13     -0.127225331579E+04
   8      14     -0.127266577115E+04
   7      15     -0.127324216482E+04
   6      16     -0.127399781945E+04
   5      17     -0.127494651844E+04
   4      18     -0.127611006521E+04
   3      19     -0.127753161055E+04
   2      20     -0.127927321750E+04
   1      21     -0.128144667451E+04
   0      22     -0.128433659317E+04
  23       0     -0.127378449605E+04
  22       1     -0.127090251889E+04
  21       2     -0.126873779832E+04
  20       3     -0.126700586033E+04
  19       4     -0.126558837581E+04
  18       5     -0.126442400752E+04
  17       6     -0.126347627059E+04
  16       7     -0.126271884057E+04
  15       8     -0.126213288648E+04
  14       9     -0.126170944145E+04
  13      10     -0.126143810668E+04
  12      11     -0.126131671997E+04
  11      12     -0.126133866926E+04
  10      13     -0.126150874596E+04
   9      14     -0.126182623887E+04
   8      15     -0.126229814842E+04
   7      16     -0.126293124128E+04
   6      17     -0.126373570059E+04
   5      18     -0.126473055698E+04
   4      19     -0.126594126103E+04
   3      20     -0.126740559104E+04
   2      21     -0.126918180145E+04
   1      22     -0.127138970063E+04
   0      23     -0.127431394115E+04
  24       0     -0.126376955005E+04
  23       1     -0.126085851131E+04
  22       2     -0.125866281963E+04
  21       3     -0.125689300907E+04
  20       4     -0.125544039632E+04
  19       5     -0.125423792479E+04
  18       6     -0.125324547667E+04
  17       7     -0.125244263352E+04
  16       8     -0.125181150144E+04
  15       9     -0.125133733439E+04
  14      10     -0.125100914878E+04
