phase,mu_0,beta,volume,kT,density,omega,P
1,-3.100471810828469,0.8333333333333334,512.0,1.2,0.663090366337143,-210.48264841293113,0.4110989226815061
1,-3.083297603061812,0.8333333333333334,512.0,1.2,0.6650516188944114,-216.3219791030313,0.42250386543560803
1,-3.0663657256896597,0.8333333333333334,512.0,1.2,0.6669519569553495,-222.09565270903693,0.43378057169733775
1,-3.049669435125323,0.8333333333333334,512.0,1.2,0.6687947688894795,-227.80499023066096,0.4449316215442597
1,-3.0332022654150212,0.8333333333333334,512.0,1.2,0.6705832008709468,-233.45128580804774,0.45595954259384325
1,-3.0169580132037983,0.8333333333333334,512.0,1.2,0.6723201880964912,-239.03580629689327,0.46686680917361967
1,-3.000930723705502,0.8333333333333334,512.0,1.2,0.6740084785349869,-244.55979109671517,0.4776558419857718
1,-2.985114677597417,0.8333333333333334,512.0,1.2,0.6756506504700093,-250.02445215683278,0.488329008118814
1,-2.9695043787673643,0.8333333333333334,512.0,1.2,0.6772491251118793,-255.43097410167707,0.498888621292338
1,-2.9540945428475913,0.8333333333333334,512.0,1.2,0.6788061755084787,-260.7805144322159,0.5093369422504217
1,-2.9388800864755926,0.8333333333333334,512.0,1.2,0.6803239328801252,-266.07420377332943,0.519676179244784
1,-2.923856117227243,0.8333333333333334,512.0,1.2,0.6818043913562806,-271.3131461477251,0.5299084885697756
1,-2.9090179241723635,0.8333333333333334,512.0,1.2,0.6832494119177548,-276.49841926544207,0.5400359751278165
1,-2.8943609690071073,0.8333333333333334,512.0,1.2,0.6846607261643852,-281.63107482427506,0.5500606930161622
1,-2.879880877721391,0.8333333333333334,512.0,1.2,0.6860399403496346,-286.712138820773,0.5599846461343223
1,-2.8655734327631,0.8333333333333334,512.0,1.2,0.6873885399612759,-291.7426118741252,0.5698097888166508
1,-2.8514345656639404,0.8333333333333334,512.0,1.2,0.688707894988463,-296.72346956655895,0.5795380264971854
1,-2.8374603500946844,0.8333333333333334,512.0,1.2,0.6899992659035583,-301.65566280416687,0.5891712164143884
1,-2.8236469953201486,0.8333333333333334,512.0,1.2,0.6912638103026435,-306.54011820165033,0.5987111683625983
1,-2.8099908400266105,0.8333333333333334,512.0,1.2,0.6925025900899492,-311.3777384935805,0.6081596454952745
1,-2.7964883464965093,0.8333333333333334,512.0,1.2,0.6937165790555259,-316.16940297364255,0.6175183651828956
1,-2.7831360951072606,0.8333333333333334,512.0,1.2,0.6949066706784437,-320.91596796211206,0.6267889999260001
1,-2.769930779132766,0.8333333333333334,512.0,1.2,0.6960736859857445,-325.6182673006547,0.6359731783215912
1,-2.7568691998278587,0.8333333333333334,512.0,1.2,0.6972183813063867,-330.2771128724889,0.6450724860790799
1,-2.7439482617774056,0.8333333333333334,512.0,1.2,0.6983414557761124,-334.8932951450934,0.6540884670802606
1,-2.7311649684931374,0.8333333333333334,512.0,1.2,0.6994435584706118,-339.4675837319771,0.6630226244765177
1,-2.7185164182425576,0.8333333333333334,512.0,1.2,0.7005252950681923,-344.00072796956016,0.6718764218155472
1,-2.705999800095383,0.8333333333333334,512.0,1.2,0.7015872339675479,-348.493457504963,0.6806512841893808
1,-2.693612390174066,0.8333333333333334,512.0,1.2,0.7026299118098034,-352.94648289038764,0.6893485993952884
1,-2.6813515480958623,0.8333333333333334,512.0,1.2,0.7036538383758534,-357.36049617985714,0.6979697191012835
1,-2.6692147135948403,0.8333333333333334,512.0,1.2,0.704659500849507,-361.7361715242392,0.7065159600082797
1,-2.6571994033130104,0.8333333333333334,512.0,1.2,0.705647367453729,-366.07416576077554,0.7149886050015147
1,-2.6453032077505143,0.8333333333333334,512.0,1.2,0.7066178904812767,-370.3751189936827,0.7233889042845365
1,-2.6335237883655114,0.8333333333333334,512.0,1.2,0.70757150875218,-374.6396551627882,0.7317180764898207
1,-2.6218588748150244,0.8333333333333334,512.0,1.2,0.7085086495390551,-378.86838259759867,0.7399773097609349
1,-2.6103062623286073,0.8333333333333334,512.0,1.2,0.7094297300072958,-383.06189455462635,0.7481677628020046
1,-2.598863809207232,0.8333333333333334,512.0,1.2,0.7103351582210774,-387.2207697362396,0.756290565891093
1,-2.5875294344402984,0.8333333333333334,512.0,1.2,0.7112253337680535,-391.34557278971755,0.7643468218549171
