spinodal,lnz_0,phase,phase_nebr,delta_w
0,-3.4947634419931606,0,0,inf
0,-3.4947634419931606,0,1,0.9999999999989058
0,-3.4947634419931606,1,0,168.02814213460437
0,-3.4947634419931606,1,1,inf
1,-4.379778340306185,0,0,inf
1,-4.379778340306185,0,1,142.16365362660832
1,-4.379778340306185,1,0,0.9999999999998863
1,-4.379778340306185,1,1,inf
