T*,V*,Rcut*,TAIL,ln(z*),<rho*>,stdev,<p*>,stdev,<U*>,stdev
1.5,512.0,2.5,LFS,-6.616755289294274,0.001342156050728727,3.349902266509461e-08,0.0020098833791124503,9.903169744800071e-08,-0.004991926571444397,3.200386600861906e-06
1.5,512.0,2.5,LFS,-6.606975575698864,0.0013553905677359175,3.3746849101683935e-08,0.00202966914484243,9.929096012901443e-08,-0.0050908413846772905,3.2610659872453426e-06
1.5,512.0,2.5,LFS,-6.597195862103455,0.001368756021910298,3.401673595442928e-08,0.0020496500140613086,9.954292641741362e-08,-0.005191719333380698,3.3228573497443765e-06
1.5,512.0,2.5,LFS,-6.587416148508047,0.0013822537173339012,3.430962657924778e-08,0.0020698279171099824,9.978744462500376e-08,-0.00529459947292629,3.3857796999403696e-06
1.5,512.0,2.5,LFS,-6.577636434912637,0.0013958849712490799,3.4626450658693815e-08,0.0020902048035561873,1.0002436342734811e-07,-0.0053995216384547795,3.4498523215053224e-06
1.5,512.0,2.5,LFS,-6.567856721317228,0.0014096511141950703,3.496812065872732e-08,0.0021107826423886955,1.00253532026409e-07,-0.005506526460530495,3.515094772102749e-06
1.5,512.0,2.5,LFS,-6.55807700772182,0.0014235534901451872,3.533552845223988e-08,0.0021315634222127933,1.0047480033756285e-07,-0.005615655381106106,3.5815268845881115e-06
1.5,512.0,2.5,LFS,-6.548297294126413,0.001437593456646367,3.5729542177383273e-08,0.0021525491514487317,1.006880191857188e-07,-0.0057269506698157755,3.649168768300106e-06
1.5,512.0,2.5,LFS,-6.5385175805310025,0.0014517723849599574,3.615100337608644e-08,0.002173741858531804,1.0089304051153256e-07,-0.005840455440598516,3.718040810179145e-06
1.5,512.0,2.5,LFS,-6.528737866935594,0.0014660916602040389,3.660072445737036e-08,0.0021951435921147614,1.0108971759777333e-07,-0.005956213668654151,3.7881636756987027e-06
1.5,512.0,2.5,LFS,-6.5189581533401855,0.0014805526814969509,3.70794865267008e-08,0.0022167564212714702,1.0127790530269462e-07,-0.006074270207744871,3.859558309654281e-06
1.5,512.0,2.5,LFS,-6.509178439744775,0.001495156862103194,3.758803760215112e-08,0.0022385824357046905,1.0145746031874012e-07,-0.006194670807847224,3.932245936750934e-06
1.5,512.0,2.5,LFS,-6.499398726149367,0.0015099056295799092,3.812709124782026e-08,0.002260623745952967,1.0162824143893148e-07,-0.006317462133162087,4.006248062013076e-06
1.5,512.0,2.5,LFS,-6.489619012553958,0.0015248004259259848,3.8697325621528464e-08,0.0022828824836027316,1.0179010984689914e-07,-0.006442691780489232,4.081586470967166e-06
1.5,512.0,2.5,LFS,-6.479839298958548,0.0015398427077319718,3.9299382947662066e-08,0.002305360801500575,1.0194292942537162e-07,-0.006570408297974517,4.158283229627183e-06
1.5,512.0,2.5,LFS,-6.470059585363141,0.0015550339463319906,3.993386939700185e-08,0.002328060873968602,1.0208656708127748e-07,-0.0067006612042348705,4.23636068422519e-06
1.5,512.0,2.5,LFS,-6.4602798717677326,0.0015703756279573523,4.060135536427683e-08,0.0023509848970218196,1.0222089305424974e-07,-0.0068335010078753936,4.315841460780467e-06
1.5,512.0,2.5,LFS,-6.450500158172324,0.0015858692538919042,4.130237608196402e-08,0.0023741350885879376,1.0234578150612219e-07,-0.006968979227400615,4.396748463921005e-06
1.5,512.0,2.5,LFS,-6.440720444576914,0.001601516340628792,4.203743264461879e-08,0.002397513688729206,1.0246111047624734e-07,-0.007107148411527467,4.4791048766393866e-06
1.5,512.0,2.5,LFS,-6.430940730981505,0.0016173184200290742,4.280699322458065e-08,0.002421122959866338,1.0256676274837464e-07,-0.007248062159913825,4.56293415810807e-06
1.5,512.0,2.5,LFS,-6.421161017386097,0.0016332770394824534,4.36114946228009e-08,0.0024449651870063335,1.0266262607474447e-07,-0.0073917751443056,4.648260042430667e-06
1.5,512.0,2.5,LFS,-6.411381303790686,0.0016493937620690156,4.4451343999125236e-08,0.0024690426779697414,1.0274859370024343e-07,-0.007538343130115528,4.735106536534433e-06
1.5,512.0,2.5,LFS,-6.401601590195278,0.00166567016672364,4.5326920779191485e-08,0.0024933577636234274,1.0282456487365725e-07,-0.007687822998438017,4.823497917815352e-06
1.5,512.0,2.5,LFS,-6.391821876599871,0.001682107848401531,4.6238578684818474e-08,0.0025179127981136687,1.0289044538643572e-07,-0.00784027276851423,4.913458731392387e-06
1.5,512.0,2.5,LFS,-6.382042163004463,0.0016987084182457184,4.718664785145988e-08,0.0025427101591025316,1.0294614815154135e-07,-0.007995751620647121,5.005013786964122e-06
1.5,512.0,2.5,LFS,-6.372262449409052,0.0017154735037568502,4.8171436989606746e-08,0.0025677522480066755,1.0299159381638267e-07,-0.008154319919593506,5.098188155257635e-06
1.5,512.0,2.5,LFS,-6.362482735813644,0.0017324047489644147,4.91932355599097e-08,0.0025930414902387154,1.0302671141610945e-07,-0.008316039238420381,5.1930071640259355e-06
1.5,512.0,2.5,LFS,-6.352703022218235,0.001749503814599759,5.0252315923544974e-08,0.0026185803354502302,1.0305143906618856e-07,-0.008480972382853858,5.289496393571082e-06
1.5,512.0,2.5,LFS,-6.342923308622825,0.0017667723782716616,5.1348935447731175e-08,0.002644371257779498,1.0306572470297735e-07,-0.008649183416119739,5.387681671794661e-06
1.5,512.0,2.5,LFS,-6.333143595027416,0.0017842121346430511,5.2483338517799575e-08,0.002670416756098599,1.0306952691624275e-07,-0.008820737684292954,5.487589068613535e-06
1.5,512.0,2.5,LFS,-6.323363881432008,0.0018018247956103812,5.3655758564088986e-08,0.0026967193542661535,1.0306281553689258e-07,-0.008995701842159833,5.589244890387845e-06
1.5,512.0,2.5,LFS,-6.313584167836601,0.0018196120904846937,5.4866419721664945e-08,0.002723281601381108,1.030455730152054e-07,-0.009174143879610288,5.692675672425803e-06
1.5,512.0,2.5,LFS,-6.303804454241191,0.0018375757661745155,5.611553871340445e-08,0.0027501060720393667,1.030177948722804e-07,-0.009356133148563895,5.797908172653873e-06
1.5,512.0,2.5,LFS,-6.294024740645782,0.0018557175873710982,5.7403326349991604e-08,0.0027771953665934454,1.0297949094385138e-07,-0.009541740390446363,5.904969363334817e-06
1.5,512.0,2.5,LFS,-6.284245027050374,0.0018740393367357902,5.87299889978555e-08,0.002804552111414722,1.029306863906642e-07,-0.009731037764230108,6.013886422638434e-06
1.5,512.0,2.5,LFS,-6.2744653134549635,0.0018925428150892696,6.009572989340221e-08,0.0028321789591586235,1.0287142282988256e-07,-0.00992409887503877,6.124686725421952e-06
1.5,512.0,2.5,LFS,-6.264685599859555,0.0019112298416027347,6.15007503206868e-08,0.0028600785890316384,1.0280175952420963e-07,-0.010120998803341238,6.237397833272274e-06
1.5,512.0,2.5,LFS,-6.2549058862641465,0.00193010225399187,6.294525065434482e-08,0.0028882537070634294,1.0272177465093152e-07,-0.010321814134737883,6.352047483779277e-06
1.5,512.0,2.5,LFS,-6.245126172668736,0.0019491619087122088,6.442943126675688e-08,0.002916707046378436,1.0263156664407953e-07,-0.010526622990358257,6.46866357898545e-06
1.5,512.0,2.5,LFS,-6.235346459073329,0.0019684106811574597,6.59534933092842e-08,0.002945441367473737,1.0253125561488103e-07,-0.010735505057875513,6.587274172999624e-06
1.5,512.0,2.5,LFS,-6.225566745477921,0.0019878504658595005,6.75176393668649e-08,0.0029744594584975585,1.0242098485681866e-07,-0.010948541623159159,6.707907458730793e-06
1.5,512.0,2.5,LFS,-6.215787031882512,0.002007483176690625,6.912207399391722e-08,0.0030037641355316553,1.0230092243555902e-07,-0.011165815602565,6.830591753620513e-06
1.5,512.0,2.5,LFS,-6.206007318287102,0.0020273107470684675,7.07670041399399e-08,0.003033358242876499,1.0217126287079712e-07,-0.01138741157589698,6.955355484502952e-06
1.5,512.0,2.5,LFS,-6.1962276046916935,0.0020473351301633154,7.245263947302729e-08,0.003063244653340056,1.0203222890987376e-07,-0.011613415820036629,7.082227171526212e-06
1.5,512.0,2.5,LFS,-6.186447891096285,0.002067558299106819,7.417919255117199e-08,0.003093426268528141,1.0188407341096642e-07,-0.011843916343257275,7.211235410105442e-06
1.5,512.0,2.5,LFS,-6.176668177500875,0.002087982247204123,7.594687903152053e-08,0.0031239060191391335,1.0172708129317348e-07,-0.012079002920246194,7.342408854047198e-06
1.5,512.0,2.5,LFS,-6.166888463905466,0.002108608988148073,7.775591761551629e-08,0.003154686865262481,1.015615716371812e-07,-0.012318767127839485,7.475776194482739e-06
1.5,512.0,2.5,LFS,-6.157108750310059,0.002129440556235438,7.960653003927736e-08,0.0031857717966774883,1.0138789985549477e-07,-0.012563302381491554,7.611366139850236e-06
1.5,512.0,2.5,LFS,-6.147329036714651,0.0021504790065865038,8.14989409357696e-08,0.003217163833158958,1.0120645998403191e-07,-0.012812703972489787,7.749207393698149e-06
1.5,512.0,2.5,LFS,-6.137549323119241,0.002171726415365935,8.343337763139904e-08,0.0032488660247830315,1.0101768708507623e-07,-0.013067069105929613,7.889328631325085e-06
1.5,512.0,2.5,LFS,-6.127769609523832,0.0021931848800070316,8.54100698748468e-08,0.003280881452238084,1.0082205975205851e-07,-0.013326496939467605,8.03175847506721e-06
1.5,512.0,2.5,LFS,-6.117989895928424,0.0022148565194386473,8.742924949920024e-08,0.003313213227138405,1.006201027316916e-07,-0.013591088622879277,8.176525468080348e-06
1.5,512.0,2.5,LFS,-6.108210182333013,0.002236743474314002,8.949115002627194e-08,0.0033458644923413114,1.0041238964809013e-07,-0.013860947338409512,8.323658046738393e-06
1.5,512.0,2.5,LFS,-6.098430468737605,0.002258847907242498,9.159600621020673e-08,0.003378838422266755,1.0019954583376622e-07,-0.014136178341968845,8.473184511357236e-06
1.5,512.0,2.5,LFS,-6.088650755142196,0.0022811720030243227,9.374405352744858e-08,0.003412138223222676,9.998225126003625e-08,-0.014416889005161356,8.625132995452792e-06
1.5,512.0,2.5,LFS,-6.0788710415467895,0.002303717968887388,9.593552761629202e-08,0.0034457671337303312,9.976124356042341e-08,-0.014703188858186523,8.779531433187482e-06
1.5,512.0,2.5,LFS,-6.069091327951379,0.002326488034727412,9.817066366486258e-08,0.0034797284248566465,9.953732113778436e-08,-0.014995189633613007,8.936407525123872e-06
1.5,512.0,2.5,LFS,-6.059311614355971,0.0023494844533504438,1.0044969575023073e-07,0.0035140254005476953,9.93113463461513e-08,-0.015293005311060532,9.095788702233248e-06
1.5,512.0,2.5,LFS,-6.049531900760562,0.002372709500718028,1.0277285613422313e-07,0.0035486613979667262,9.908424872799536e-08,-0.015596752162788757,9.257702087951446e-06
1.5,512.0,2.5,LFS,-6.039752187165152,0.0023961654761955977,1.0514037451150108e-07,0.0035836397878357155,9.885702829495472e-08,-0.015906548800233393,9.422174458335514e-06
1.5,512.0,2.5,LFS,-6.029972473569743,0.0024198547028037574,1.0755247721409334e-07,0.003618963974780612,9.863075882523178e-08,-0.01622251622149972,9.589232200209854e-06
1.5,512.0,2.5,LFS,-6.020192759974335,0.00244377952747199,1.1000938637547916e-07,0.0036546373976803423,9.840659115811894e-08,-0.016544777859822578,9.758901267221089e-06
1.5,512.0,2.5,LFS,-6.0104130463789245,0.0024679423212955486,1.1251131904804821e-07,0.0036906635300185883,9.818575644751352e-08,-0.016873459633036908,9.931207133763289e-06
1.5,512.0,2.5,LFS,-6.000633332783518,0.002492345479795484,1.1505848628192458e-07,0.0037270458802418035,9.796956934798912e-08,-0.01720868999405568,1.0106174746662025e-05
1.5,512.0,2.5,LFS,-5.990853619188109,0.0025169914231814787,1.1765109216090364e-07,0.003763787992117498,9.775943108506861e-08,-0.01755059998240076,1.0283828474567459e-05
1.5,512.0,2.5,LFS,-5.981073905592701,0.002541882596617781,1.2028933279858818e-07,0.0038008934450999175,9.755683237258466e-08,-0.017899323276778723,1.0464192055014966e-05
1.5,512.0,2.5,LFS,-5.97129419199729,0.002567021470492479,1.2297339528939993e-07,0.0038383658546973496,9.73633561111884e-08,-0.01825499624876263,1.064728853893756e-05
1.5,512.0,2.5,LFS,-5.961514478401882,0.002592410540689067,1.257034566236374e-07,0.00387620887284412,9.718067983020814e-08,-0.018617758017553214,1.0833140232848928e-05
1.5,512.0,2.5,LFS,-5.951734764806473,0.002618052328862319,1.2847968255681337e-07,0.003914426188276742,9.701057778635432e-08,-0.018987750505898758,1.1021768638231124e-05
1.5,512.0,2.5,LFS,-5.941955051211063,0.002643949382716883,1.3130222644075414e-07,0.003953021526914604,9.685492266765941e-08,-0.01936511849714929,1.1213194388384654e-05
1.5,512.0,2.5,LFS,-5.9321753376156545,0.002670104276288634,1.3417122800110358e-07,0.003991998652242947,9.671568671156287e-08,-0.019750009693498456,1.1407437182745047e-05
1.5,512.0,2.5,LFS,-5.922395624020248,0.002696519610229966,1.3708681211675674e-07,0.004031361365702155,9.659494290118362e-08,-0.020142574775422434,1.1604515716628855e-05
1.5,512.0,2.5,LFS,-5.912615910424839,0.002723198012098377,1.4004908751533358e-07,0.004071113507080343,9.649486393045366e-08,-0.020542967462354542,1.1804447613616122e-05
1.5,512.0,2.5,LFS,-5.902836196829429,0.002750142136647998,1.4305814535391253e-07,0.004111258954909213,9.641772256496508e-08,-0.02095134457461077,1.2007249345316994e-05
1.5,512.0,2.5,LFS,-5.89305648323402,0.0027773546661252852,1.461140579747542e-07,0.004151801626866666,9.636588959465573e-08,-0.021367866096595363,1.2212936158232952e-05
1.5,512.0,2.5,LFS,-5.883276769638612,0.0028048383105672343,1.4921687740133288e-07,0.0041927454801809,9.634183152638518e-08,-0.02179269524131839,1.2421521991194035e-05
1.5,512.0,2.5,LFS,-5.873497056043202,0.002832595808103598,1.5236663389921507e-07,0.004234094512040889,9.634810718652822e-08,-0.022225998516238674,1.2633019391710837e-05
1.5,512.0,2.5,LFS,-5.863717342447793,0.0028606299252632956,1.5556333446519015e-07,0.004275852760010924,9.638736327708683e-08,-0.02266794579049301,1.2847439429058658e-05
1.5,512.0,2.5,LFS,-5.853937628852385,0.0028889434572831386,1.588069612898321e-07,0.004318024302449423,9.646232880503816e-08,-0.023118710363488688,1.3064791603718704e-05
1.5,512.0,2.5,LFS,-5.844157915256978,0.0029175392284211607,1.620974701682566e-07,0.004360613258931572,9.657580835140052e-08,-0.023578469034945294,1.3285083753681581e-05
1.5,512.0,2.5,LFS,-5.8343782016615675,0.0029464200922732905,1.6543478887480506e-07,0.004403623790679002,9.673067413499547e-08,-0.024047402176368582,1.3508321957327914e-05
1.5,512.0,2.5,LFS,-5.824598488066159,0.002975588932093969,1.6881881549907717e-07,0.0044470601009905224,9.692985687588137e-08,-0.024525693804026492,1.3734510432788436e-05
1.5,512.0,2.5,LFS,-5.8148187744707505,0.0030050486611203687,1.7224941673903463e-07,0.004490926435681198,9.717633545735509e-08,-0.02501353165342111,1.396365143385762e-05
1.5,512.0,2.5,LFS,-5.80503906087534,0.0030348022229007877,1.7572642616096247e-07,0.004535227083523793,9.747312544222344e-08,-0.025511107255326994,1.4195745142323909e-05
1.5,512.0,2.5,LFS,-5.795259347279932,0.003064852591626243,1.7924964239745805e-07,0.004579966376695843,9.782326650858451e-08,-0.026018616013389423,1.4430789556307615e-05
1.5,512.0,2.5,LFS,-5.785479633684523,0.0030952027724668743,1.828188274524403e-07,0.004625148691231853,9.822980893903639e-08,-0.02653625728335317,1.4668780377674444e-05
1.5,512.0,2.5,LFS,-5.775699920089113,0.003125855801912038,1.8643370461508893e-07,0.00467077844748026,9.869579922518498e-08,-0.027064234453931878,1.4909710889032037e-05
1.5,512.0,2.5,LFS,-5.765920206493706,0.003156814748114132,1.9009395682128474e-07,0.004716860110565528,9.922426509264101e-08,-0.027602755029355653,1.5153571836271762e-05
1.5,512.0,2.5,LFS,-5.7561404928982975,0.0031880827112369925,1.9379922462438302e-07,0.004763398190854318,9.981820000385682e-08,-0.02815203071365068,1.5400351300316177e-05
1.5,512.0,2.5,LFS,-5.746360779302889,0.003219662823808126,1.975491042875318e-07,0.0048103972444292886,1.0048054746674668e-07,-0.028712277496656568,1.5650034568445756e-05
1.5,512.0,2.5,LFS,-5.736581065707479,0.0032515582510756215,2.013431458212678e-07,0.004857861873564546,1.0121418534610509e-07,-0.029283715741859027,1.590260400116294e-05
1.5,512.0,2.5,LFS,-5.72680135211207,0.0032837721913685893,2.0518085100699028e-07,0.004905796727209764,1.020219104506086e-07,-0.029866570276023453,1.6158038895643003e-05
1.5,512.0,2.5,LFS,-5.717021638516662,0.0033163078764631955,2.090616713953183e-07,0.0049542065014776,1.0290642366246036e-07,-0.030461070480739916,1.641631534553559e-05
1.5,512.0,2.5,LFS,-5.707241924921251,0.0033491685719511306,2.1298500628015416e-07,0.005003095940136676,1.038703158342495e-07,-0.031067450385826527,1.6677406097217946e-05
1.5,512.0,2.5,LFS,-5.697462211325843,0.0033823575776148426,2.1695020076352056e-07,0.00505246983511091,1.0491605485837245e-07,-0.03168594876473875,1.694128040369737e-05
1.5,512.0,2.5,LFS,-5.687682497730436,0.0034158782278055438,2.2095654355140187e-07,0.005102333026984169,1.0604597368305047e-07,-0.032316809231923004,1.7207903872160817e-05
1.5,512.0,2.5,LFS,-5.677902784135028,0.0034497338918266125,2.250032651043108e-07,0.005152690405508877,1.0726226019856332e-07,-0.03296028034224456,1.7477238312415556e-05
1.5,512.0,2.5,LFS,-5.668123070539617,0.0034839279743212118,2.290895355239151e-07,0.005203546910123429,1.0856694842304963e-07,-0.03361661569246192,1.7749241579141547e-05
1.5,512.0,2.5,LFS,-5.658343356944209,0.00351846391566518,2.3321446254639482e-07,0.005254907530471584,1.0996191151603106e-07,-0.03428607402485354,1.8023867412646115e-05
1.5,512.0,2.5,LFS,-5.6485636433488,0.0035533451923640677,2.3737708961173725e-07,0.005306777306930832,1.1144885660426816e-07,-0.03496891933299141,1.830106527507521e-05
1.5,512.0,2.5,LFS,-5.63878392975339,0.003588575317455444,2.4157639376188513e-07,0.0053591613311451,1.130293212912296e-07,-0.03566542096974011,1.8580780187939954e-05
1.5,512.0,2.5,LFS,-5.629004216157981,0.0036241578409160298,2.4581128382833173e-07,0.005412064746563307,1.1470467208174766e-07,-0.03637585375752765,1.886295256204633e-05
1.5,512.0,2.5,LFS,-5.619224502562573,0.0036600963500731513,2.5008059846442665e-07,0.005465492748984259,1.1647610439629254e-07,-0.037100498100900714,1.9147518029184414e-05
1.5,512.0,2.5,LFS,-5.609444788967166,0.003696394470022791,2.543831043046494e-07,0.00551945058710821,1.1834464420767706e-07,-0.03783964010148129,1.9434407270394832e-05
1.5,512.0,2.5,LFS,-5.599665075371756,0.0037330558640507154,2.587174941623465e-07,0.005573943563093634,1.2031115111261096e-07,-0.0385935716752928,1.972354584299826e-05
1.5,512.0,2.5,LFS,-5.589885361776347,0.003770084234060475,2.630823852951581e-07,0.005628977033119982,1.2237632267679943e-07,-0.03936259067259,2.0014854006304122e-05
1.5,512.0,2.5,LFS,-5.580105648180939,0.0038074833210054422,2.674763177530852e-07,0.0056845564079588615,1.2454069985657432e-07,-0.040147001000170504,2.0308246546784893e-05
1.5,512.0,2.5,LFS,-5.5703259345855285,0.0038452569053272338,2.718977527969747e-07,0.0057406871535482275,1.268046733171563e-07,-0.0409471127462942,2.0603632602307536e-05
1.5,512.0,2.5,LFS,-5.56054622099012,0.0038834088073984308,2.7634507143316187e-07,0.005797374791576394,1.2916849043006172e-07,-0.04176324230819374,2.0900915487070334e-05
1.5,512.0,2.5,LFS,-5.5507665073947114,0.003921942887972007,2.8081657305164773e-07,0.005854624900070549,1.3163226276804715e-07,-0.042595712522304825,2.1199992516705424e-05
1.5,512.0,2.5,LFS,-5.540986793799301,0.003960863048634513,2.853104741824687e-07,0.005912443113991961,1.3419597390140235e-07,-0.0434448527971984,2.15007548346326e-05
1.5,512.0,2.5,LFS,-5.531207080203893,0.004000173232267063,2.898249074086925e-07,0.00597083512583908,1.368594873614504e-07,-0.04431099924936038,2.180308723976264e-05
1.5,512.0,2.5,LFS,-5.521427366608486,0.004039877423510055,2.9435792043592717e-07,0.006029806686256582,1.3962255439160745e-07,-0.04519449484178354,2.2106868020049245e-05
1.5,512.0,2.5,LFS,-5.511647653013077,0.004079979649235007,2.9890747516493216e-07,0.0060893636046512965,1.424848219268433e-07,-0.046095689525528796,2.241196877794686e-05
1.5,512.0,2.5,LFS,-5.501867939417667,0.004120483979021358,3.034714474341184e-07,0.006149511749814612,1.4544583994176666e-07,-0.0470149403842409,2.271825428002483e-05
1.5,512.0,2.5,LFS,-5.4920882258222585,0.0041613945256396175,3.080476262888509e-07,0.006210257050554098,1.4850506848368747e-07,-0.04795261178172819,2.3025582289814918e-05
1.5,512.0,2.5,LFS,-5.48230851222685,0.0042027154455409,3.1263371397721147e-07,0.0062716054963287814,1.5166188436646986e-07,-0.04890907551267386,2.3333803420132253e-05
1.5,512.0,2.5,LFS,-5.47252879863144,0.004244450939351212,3.172273260588469e-07,0.006333563137894929,1.5491558745319227e-07,-0.049884710956492294,2.3642760987905355e-05
1.5,512.0,2.5,LFS,-5.462749085036031,0.004286605252374118,3.2182599162074506e-07,0.006396136087957363,1.5826540592609705e-07,-0.050879905234503954,2.3952290876103278e-05
1.5,512.0,2.5,LFS,-5.452969371440624,0.004329182675096653,3.264271540361979e-07,0.0064593305218277886,1.6171050165077248e-07,-0.05189505337035646,2.4262221407035622e-05
1.5,512.0,2.5,LFS,-5.443189657845216,0.004372187543705251,3.310281718180661e-07,0.00652315267809285,1.6524997446879559e-07,-0.05293055845393131,2.457237322353577e-05
