lnz_0,phase,component,beta,volume,edge_distance,betaOmega,nvec,PE,dens,betaF,S,betaG,betapV,PE_n
-6.82,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.81,0,0,1.372288015808758,512.0,436.0,-0.5682961133672358,0.5722257446412783,-0.005491780781350501,0.0011176284075024967,-4.465153434374341,5.315955746384562,-3.896857321007105,0.5682961133672358,-0.009597227724860989
-6.81,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.8,0,0,1.372288015808758,512.0,436.0,-0.574047479752479,0.5780575252443787,-0.005604363251847287,0.0011290186039929271,-4.504838651414254,5.364234138754074,-3.930791171661775,0.574047479752479,-0.009695165285631384
-6.8,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.79,0,0,1.372288015808758,512.0,436.0,-0.5798574647878989,0.5839495808153876,-0.005719271005372114,0.001140526525030054,-4.544875118524381,5.4129510026876275,-3.965017653736482,0.5798574647878989,-0.009794117836999064
-6.79,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.78,0,0,1.372288015808758,512.0,436.0,-0.5857266744192067,0.589902551750474,-0.005836552608710554,0.0011521534213876446,-4.58526597528742,5.4621103717145605,-3.999539300868214,0.5857266744192067,-0.009894096222149228
-6.78,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.77,0,0,1.372288015808758,512.0,436.0,-0.5916557210318554,0.5959170856126006,-0.005956257659972509,0.0011639005578371105,-4.626014390629161,5.511716318042212,-4.034358669597306,0.5916557210318554,-0.009995111406898995
-6.77,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.76,0,0,1.372288015808758,512.0,436.0,-0.5976452235231273,0.6019938372193105,-0.006078436811027191,0.001175769213318966,-4.667123563125666,5.5617729529640085,-4.069478339602539,0.5976452235231273,-0.010097174481227744
-6.76,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.75,0,0,1.372288015808758,512.0,436.0,-0.603695807375104,0.6081334687317475,-0.006203141790442925,0.0011877606811166942,-4.708596721314399,5.612284427272633,-4.104900913939296,0.603695807375104,-0.010200296660829205
-6.75,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.74,0,0,1.372288015808758,512.0,436.0,-0.6098081047285884,0.6143366497449216,-0.006330425426942584,0.00119987626903305,-4.750437124009361,5.663254931678379,-4.140629019280772,0.6098081047285884,-0.01030448928868404
-6.74,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.73,0,0,1.372288015808758,512.0,436.0,-0.6159827544578957,0.6206040573792815,-0.006460341673389899,0.0012121172995689091,-4.7926480606204604,5.71468869723296,-4.1766653061625645,0.6159827544578957,-0.010409763836657723
-6.73,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.72,0,0,1.372288015808758,512.0,436.0,-0.6222204022465222,0.626936376373517,-0.006592945631316039,0.0012244851101045253,-4.8352328514765555,5.766589995758097,-4.213012449230034,0.6222204022465222,-0.010516131907120484
-6.72,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.71,0,0,1.372288015808758,512.0,436.0,-0.6285217006638619,0.6333342991787537,-0.006728293576000871,0.0012369810530835034,-4.878194848153299,5.818963140280241,-4.249673147489437,0.6285217006638619,-0.010623605234590116
-6.71,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.7,0,0,1.372288015808758,512.0,436.0,-0.6348873092427784,0.6397985260540544,-0.006866442982122458,0.001249606496199325,-4.921537433804943,5.871812485470423,-4.286650124562165,0.6348873092427784,-0.010732195687400406
-6.7,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.69,0,0,1.372288015808758,512.0,436.0,-0.6413178945581718,0.64632976516327,-0.007007452549986675,0.0012623628225845117,-4.965264023500448,5.925142428089658,-4.323946128942277,0.6413178945581718,-0.010841915269392731
-6.69,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.68,0,0,1.372288015808758,512.0,436.0,-0.647814130306482,0.6529287326732814,-0.007151382232352301,0.0012752514310025028,-5.009378064564002,5.978957407439999,-4.36156393425752,0.647814130306482,-0.01095277612163344
-6.68,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.67,0,0,1.372288015808758,512.0,436.0,-0.654376697386287,0.659596152853698,-0.007298293261864925,0.0012882737360423789,-5.053883036920453,6.0332619058218855,-4.399506339534166,0.654376697386287,-0.011064790524155354
-6.67,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.66,0,0,1.372288015808758,512.0,436.0,-0.6610062839797849,0.6663327581779175,-0.007448248179114289,0.001301431168316245,-5.0987824534447155,6.0880604489966235,-4.4377761694649305,0.6610062839797849,-0.011177970897726047
-6.66,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.65,0,0,1.372288015808758,512.0,436.0,-0.6677035856353251,0.6731392894256804,-0.007601310861330595,0.001314725174659532,-5.144079860316099,6.1433576066551785,-4.476376274680774,0.6677035856353251,-0.011292329805642458
-6.65,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.64,0,0,1.372288015808758,512.0,436.0,-0.6744693053510578,0.68001649578714,-0.007757546551734147,0.0013281572183342577,-5.189778837377666,6.199157992893353,-4.515309532026609,0.6744693053510578,-0.011407879955551002
-6.64,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.63,0,0,1.372288015808758,512.0,436.0,-0.6813041536595117,0.686965134968368,-0.007917021889554031,0.0013417287792350937,-5.235882998499791,6.255466266692412,-4.55457884484028,0.6813041536595117,-0.011524634201295497
-6.63,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.62,0,0,1.372288015808758,512.0,436.0,-0.6882088487132871,0.6939859732984628,-0.008079804940733798,0.0013554413540985601,-5.282395991949111,6.3122871324065635,-4.594187143235824,0.6882088487132871,-0.01164260554479379
-6.62,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.61,0,0,1.372288015808758,512.0,436.0,-0.6951841163718603,0.7010797858381816,-0.008245965229337054,0.0013692964567151985,-5.329321500762241,6.369625340256518,-4.634137384390381,0.6951841163718603,-0.011761807137940117
-6.61,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.6,0,0,1.372288015808758,512.0,436.0,-0.7022306902894325,0.7082473564901758,-0.008415573769673265,0.0013832956181448746,-5.376663243124593,6.42748568682958,-4.67443255283516,0.7022306902894325,-0.011882252284537823
-6.6,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.59,0,0,1.372288015808758,512.0,436.0,-0.709349312003888,0.7154894781108487,-0.008588703099160256,0.0013974403869352514,-5.424424972754381,6.485873015586337,-4.715075660750493,0.709349312003888,-0.012003954442261738
-6.59,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.58,0,0,1.372288015808758,512.0,436.0,-0.7165407310269335,0.7228069526238439,-0.008765427311938878,0.001411732329343445,-5.472610479291826,6.544792217373976,-4.756069748264893,0.7165407310269335,-0.012126927224647902
-6.58,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.57,0,0,1.372288015808758,512.0,436.0,-0.7238057049353288,0.7302005911352196,-0.00894582209326152,0.0014261730295609758,-5.521223588693722,6.6042482309464114,-4.797417883758393,0.7238057049353288,-0.012251184403115498
-6.57,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.56,0,0,1.372288015808758,512.0,436.0,-0.7311449994632734,0.7376712140503302,-0.009129964754671616,0.0014407640899420512,-5.57026816363344,6.664246043491342,-4.839123164170166,0.7311449994632734,-0.012376739909019538
-6.56,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.55,0,0,1.372288015808758,512.0,436.0,-0.7385593885960287,0.7452196511924304,-0.009317934269991973,0.0014555071312352156,-5.619748103906447,6.724790691164289,-4.881188715310419,0.7385593885960287,-0.012503607835733118
-6.55,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.54,0,0,1.372288015808758,512.0,436.0,-0.7460496546646795,0.7528467419230537,-0.009509811312144262,0.0014704037928184642,-5.66966734684145,6.785887259629773,-4.923617692176771,0.7460496546646795,-0.012631802440763213
-6.54,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.53,0,0,1.372288015808758,512.0,436.0,-0.7536165884421071,0.7605533352641978,-0.009705678290818986,0.0014854557329378863,-5.720029867717319,6.847540884609829,-4.966413279275212,0.7536165884421071,-0.012761338147899213
-6.53,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.52,0,0,1.372288015808758,512.0,436.0,-0.7612609892402487,0.768340290022311,-0.00990561939101425,0.0015006646289498261,-5.770839680185716,6.909756752439731,-5.009578690945467,0.7612609892402487,-0.01289222954939225
-6.52,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.51,0,0,1.372288015808758,512.0,436.0,-0.7689836650085529,0.776208474914171,-0.010109720612468918,0.0015160321775667402,-5.822100836699805,6.972540100631396,-5.053117171691253,0.7689836650085529,-0.01302449140817072
-6.51,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.5,0,0,1.372288015808758,512.0,436.0,-0.7767854324337005,0.7841587686946538,-0.010318069810009333,0.0015315600951067458,-5.873817428948951,7.035896218444377,-5.09703199651525,0.7767854324337005,-0.013158138660089537
-6.5,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.49,0,0,1.372288015808758,512.0,436.0,-0.7846671170406652,0.792192060286407,-0.010530756734830757,0.0015472501177468886,-5.925993588299447,7.099830447464451,-5.141326471258782,0.7846671170406652,-0.013293186416212624
-6.49,1,0,1.372288015808758,512.0,,,,,,,,,,
-6.48,0,0,1.372288015808758,512.0,436.0,-0.7926295532950498,0.8003092489115466,-0.010747873076740886,0.0015631040017803645,-5.978633486241872,7.164348182190547,-5.186003932946822,0.7926295532950498,-0.013429649965133395
-6.48,1,0,1.372288015808758,512.0,,,,,,,,,,
