spinodal,lnz_0,phase,component,beta,volume,edge_distance,betaOmega,nvec,PE,dens,betaF,S,betaG,betapV,PE_n
0,-4.37982817626757,0,0,1.372288015808758,512.0,,,,,,,,,,
0,-4.37982817626757,1,0,1.372288015808758,512.0,,,,,,,,,,
0,-3.4947340347351306,0,0,1.372288015808758,512.0,405.0,-21.21377810525187,37.14433992758195,-26.948970728050355,0.0725475389210585,-151.02336704794354,169.75812737083194,-129.80958894269168,21.21377810525187,-0.7255202483229238
0,-3.4947340347351306,1,0,1.372288015808758,512.0,52.0,-187.54063062652477,383.1673378544316,-1561.9008811913704,0.7483737067469367,-1526.6085672252614,-42.01828713314785,-1339.0679365987367,187.54063062652477,-4.076289200267768
1,-4.37982817626757,0,0,1.372288015808758,512.0,429.0,-6.997406169798822,7.702664821183077,-1.0146983513896748,0.015044267228873196,-40.733754585961464,50.89529343046313,-33.73634841616264,6.997406169798822,-0.13173341628460267
1,-4.37982817626757,1,0,1.372288015808758,512.0,108.0,132.54962890374344,322.3802115803006,-1118.9611586561791,0.6296488507427747,-1279.420305246758,227.4536344378521,-1411.9699341505016,-132.54962890374344,-3.4709362375905655
1,-3.4947340347351306,0,0,1.372288015808758,512.0,,,,,,,,,,
1,-3.4947340347351306,1,0,1.372288015808758,512.0,,,,,,,,,,
