binodal,lnz_0,phase,component,beta,volume,edge_distance,betaOmega,nvec,PE,dens,betaF,S,betaG,betapV,PE_n
0,-3.966438059499726,0,0,1.372288015808758,512.0,424.0,-11.201294745678371,13.30979775516414,-3.0880998451025867,0.025995698740554962,-63.99378312600544,79.72071734969649,-52.792488380327065,11.201294745678371,-0.23201703751692382
0,-3.966438059499726,1,0,1.372288015808758,512.0,72.0,-11.201294745834927,363.0961568360159,-1404.2955961830162,0.7091721813203435,-1451.39971047829,68.94592843734563,-1440.198415732455,11.201294745834927,-3.867558413231111
