n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
24,0,0.6666666666666666,512.0,128.39055790156897,0.8626904166666461,32.17792033333333,-96.21263756823564,-20.704569999999507,-3.1461694820098387,0.046875,24.0,20.704569999999507,-0.23887997916666667,-4.0088598986764845
25,0,0.6666666666666666,512.0,132.68862565024543,0.8630901999999162,33.3482586,-99.34036705024542,-21.577254999997905,-3.1105244820099003,0.048828125,25.0,21.577254999997905,-0.249104484,-3.9736146820098166
26,0,0.6666666666666666,512.0,136.9383007989221,0.8634076923076213,34.504614266666664,-102.43368653225544,-22.44859999999815,-3.0763494820098956,0.05078125,26.0,22.44859999999815,-0.2593491769230769,-3.9397571743175166
27,0,0.6666666666666666,512.0,141.1409486142652,0.8637961111111728,35.6478826,-105.49306601426521,-23.322495000001666,-3.043354482009761,0.052734375,27.0,23.322495000001666,-0.26956207777777774,-3.907150593120934
28,0,0.6666666666666666,512.0,145.29804636294162,0.8636739285714822,36.77765086666667,-108.52039549627496,-24.1828700000015,-3.0120544820097663,0.0546875,28.0,24.1828700000015,-0.2797687035714286,-3.8757284105812486
29,0,0.6666666666666666,512.0,149.4112796449514,0.8637853448275739,37.894104666666664,-111.51717497828474,-25.04977499999964,-2.981634482009831,0.056640625,29.0,25.04977499999964,-0.28996010344827583,-3.845419826837405
30,0,0.6666666666666666,512.0,153.4812225269613,0.8638576666666282,38.99755806666667,-114.48366446029462,-25.915729999998845,-2.952264482009859,0.05859375,30.0,25.915729999998845,-0.30012209666666667,-3.816122148676487
31,0,0.6666666666666666,512.0,157.50945394230445,0.8637124193548215,40.08775,-117.42170394230446,-26.775084999999464,-2.924084482009839,0.060546875,31.0,26.775084999999464,-0.3102701612903226,-3.78779690136466
32,0,0.6666666666666666,512.0,161.49585275764764,0.863450312499944,41.164019333333336,-120.3318334243143,-27.630409999998207,-2.896919482009878,0.0625,32.0,27.630409999998207,-0.32043659375,-3.760369794509822
33,0,0.6666666666666666,512.0,165.44293823965756,0.8631748484848195,42.227395333333334,-123.21554290632422,-28.484769999999045,-2.8706294820098535,0.064453125,33.0,28.484769999999045,-0.3305729393939394,-3.733804330494673
