lnz_0,phase,component,beta,volume,edge_distance,betaOmega,nvec,PE,dens,betaF,S,betaG,betapV,PE_n
-10.0,0,0,1.372288015808758,512.0,436.0,-0.023244562988392982,0.023251063854956303,-9.05690884216179e-06,4.541223409171153e-05,-0.255755201537956,0.2906193686329261,-0.23251063854956303,0.023244562988392982,-0.0003895266426801016
-10.0,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.993496748374188,0,0,1.372288015808758,512.0,436.0,-0.023396263521910973,0.02340284953905092,-9.175538145942462e-06,4.5708690505958825e-05,-0.2572725642931067,0.2923642471206468,-0.23387630077119573,0.023396263521910973,-0.0003920692704805796
-9.993496748374188,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.986993496748374,0,0,1.372288015808758,512.0,436.0,-0.023548954376203884,0.023555626659547937,-9.295721856701807e-06,4.6007083319429564e-05,-0.25879884463694175,0.2941195282185614,-0.23524989026073787,0.023548954376203884,-0.00039462851025166503
-9.986993496748374,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.980490245122562,0,0,1.372288015808758,512.0,436.0,-0.02370264201989026,0.023709401699688493,-9.417480351042952e-06,4.630742519470409e-05,-0.26033409440132355,0.2958852734554314,-0.2366314523814333,0.02370264201989026,-0.00039720447062848845
-9.980490245122562,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.973986993496748,0,0,1.372288015808758,512.0,436.0,-0.023857332963889283,0.023864181185205596,-9.540834272863376e-06,4.660972887735468e-05,-0.2618783657155797,0.29766154472085465,-0.23802103275169043,0.023857332963889283,-0.0003997972609585339
-9.973986993496748,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.967483741870936,0,0,1.372288015808758,512.0,436.0,-0.02401303376169544,0.02401997168460336,-9.665804536865788e-06,4.691400719649094e-05,-0.2634317110081797,0.29944840426735564,-0.23941867724648425,0.02401303376169544,-0.0004024069913063846
-9.967483741870936,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.960980490245122,0,0,1.372288015808758,512.0,436.0,-0.024169751009663232,0.02417677980944112,-9.792412332113874e-06,4.722027306531469e-05,-0.26499418300845845,0.3012459147125309,-0.2408244319987952,0.024169751009663232,-0.0004050337724583942
-9.960980490245122,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.95447723861931,0,0,1.372288015808758,512.0,436.0,-0.02432749134728179,0.02433461221461309,-9.920679125634823e-06,4.752853948166619e-05,-0.2665658347482752,0.30305413904112205,-0.24223834340099343,0.02432749134728179,-0.00040767771592749655
-9.95447723861931,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.947973986993496,0,0,1.372288015808758,512.0,436.0,-0.024486261457461467,0.02449347559863636,-1.0050626666070561e-05,4.783881952858664e-05,-0.2681467195637559,0.30487314060718523,-0.24366045810629444,0.024486261457461467,-0.00041033893395799314
-9.947973986993496,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.941470735367684,0,0,1.372288015808758,512.0,436.0,-0.024646068066816802,0.024653376703937434,-1.0182276987374304e-05,4.81511263748778e-05,-0.2697368910970062,0.30670298313622896,-0.24509082303018942,0.024646068066816802,-0.00041301753953031816
-9.941470735367684,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.934967483741872,0,0,1.372288015808758,512.0,436.0,-0.02480691794595447,0.024814322317141455,-1.0315652412558473e-05,4.8465473275666905e-05,-0.2713364032978451,0.3085437307273763,-0.24652948535189062,0.02480691794595447,-0.00041571364636593507
-9.934967483741872,1,0,1.372288015808758,512.0,,,,,,,,,,
-9.928464232116058,0,0,1.372288015808758,512.0,436.0,-0.024968817909759283,0.02497631926936335,-1.0450775557490474e-05,4.8781873572975296e-05,-0.2729453104255444,0.31039544785553597,-0.2479764925157851,0.024968817909759283,-0.00041842736893220637
-9.928464232116058,1,0,1.372288015808758,512.0,,,,,,,,,,
