          mu*                    p(1)*                  p(2)*             rho(1)*                rho(2)*                 u(1)*             u(2)* 
   -0.8637333882E+01      0.2376589141E-02      0.2376589142E-02      0.3508511644E-02      0.8202182204E+00     -0.4095243624E-01     -0.5578010785E+01
 
   -0.4001996574E+01      0.2376589141E-02      0.2376589142E-02      0.3508511644E-02      0.8202182204E+00     -0.4095243624E-01     -0.5578010785E+01
