          mu*                    p(1)*                  p(2)*             rho(1)*                rho(2)*                 u(1)*             u(2)* 
   -0.8685710518E+01      0.6957347076E-03      0.6957347076E-03      0.1083201211E-02      0.8607335776E+00     -0.1408364383E-01     -0.6214363087E+01
 
   -0.4453724005E+01      0.6957347076E-03      0.6957347076E-03      0.1083201211E-02      0.8607335776E+00     -0.1408364383E-01     -0.6214363087E+01
