lnz_0,lnz_1,phase,component,temp,beta,volume,edge_distance,betaOmega,nvec,dens,betaF,betaG,betapV
-10.0,-10.0,0,0,0.8,1.25,512,205.27298896834918,-0.03517683591381825,0.023262427586914436,4.543442888069226e-05,-0.3871368531535313,-0.35196001723971304,0.03517683591381825
-10.0,-10.0,0,1,0.8,1.25,512,205.27298896834918,-0.03517683591381825,0.011933574137056872,2.3307761986439202e-05,-0.3871368531535313,-0.35196001723971304,0.03517683591381825
-10.0,-9.875,0,0,0.8,1.25,512,205.27298896834918,-0.036765832745365934,0.02326364814478152,4.543681278277641e-05,-0.4029471785000823,-0.3661813457547164,0.036765832745365934
-10.0,-9.875,0,1,0.8,1.25,512,205.27298896834918,-0.036765832745365934,0.013523530562724168,2.641314563032064e-05,-0.4029471785000823,-0.3661813457547164,0.036765832745365934
-10.0,-9.75,0,0,0.8,1.25,512,205.27298896834918,-0.038566546835102744,0.02326503172689493,4.543951509159166e-05,-0.4206402641090918,-0.38207371727398903,0.038566546835102744
-10.0,-9.75,0,1,0.8,1.25,512,205.27298896834918,-0.038566546835102744,0.015325476923593819,2.9932572116394177e-05,-0.4206402641090918,-0.38207371727398903,0.038566546835102744
-10.0,-9.625,0,0,0.8,1.25,512,205.27298896834918,-0.040607209152717406,0.023266600185632706,4.544257848756388e-05,-0.44043753235157457,-0.39983032319885714,0.040607209152717406
-10.0,-9.625,0,1,0.8,1.25,512,205.27298896834918,-0.040607209152717406,0.017367721697925203,3.392133144126016e-05,-0.44043753235157457,-0.39983032319885714,0.040607209152717406
-10.0,-9.5,0,0,0.8,1.25,512,205.27298896834918,-0.04291982127384943,0.023268378325059517,4.544605141613187e-05,-0.46258608166013804,-0.4196662603862886,0.04291982127384943
-10.0,-9.5,0,1,0.8,1.25,512,205.27298896834918,-0.04291982127384943,0.019682366014283526,3.844212112164751e-05,-0.46258608166013804,-0.4196662603862886,0.04291982127384943
